MS.Zoning,Street,Lot.Shape,Land.Contour,Utilities,Lot.Config,Land.Slope,Neighborhood,Condition.1,Condition.2,Bldg.Type,House.Style,Overall.Qual,Year.Built,Year.Remod.Add,Roof.Style,Roof.Matl,Exterior.1st,Exterior.2nd,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Exter.Cond,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.Type.2,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,Full.Bath,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplace.Qu,Garage.Type,Garage.Yr.Blt,Garage.Finish,Garage.Cars,Garage.Area,Garage.Qual,Garage.Cond,Paved.Drive,Sale.Type,Sale.Condition,SalePrice
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,Unf,1080.0,GasA,Fa,Y,SBrkr,1656,1,TA,7,Typ,Gd,Attchd,1960.0,Fin,2.0,528.0,TA,TA,P,WD ,Normal,215000
RH,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,LwQ,882.0,GasA,TA,Y,SBrkr,896,1,TA,5,Typ,NA,Attchd,1961.0,Unf,1.0,730.0,TA,TA,Y,WD ,Normal,105000
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1329.0,GasA,TA,Y,SBrkr,1329,1,Gd,6,Typ,NA,Attchd,1958.0,Unf,1.0,312.0,TA,TA,Y,WD ,Normal,172000
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,Unf,2110.0,GasA,Ex,Y,SBrkr,2110,2,Ex,8,Typ,TA,Attchd,1968.0,Fin,2.0,522.0,TA,TA,Y,WD ,Normal,244000
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,928.0,GasA,Gd,Y,SBrkr,928,2,TA,6,Typ,TA,Attchd,1997.0,Fin,2.0,482.0,TA,TA,Y,WD ,Normal,189900
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,926.0,GasA,Ex,Y,SBrkr,926,2,Gd,7,Typ,Gd,Attchd,1998.0,Fin,2.0,470.0,TA,TA,Y,WD ,Normal,195500
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,2001,2001,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,1338.0,GasA,Ex,Y,SBrkr,1338,2,Gd,6,Typ,NA,Attchd,2001.0,Fin,2.0,582.0,TA,TA,Y,WD ,Normal,213500
RL,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,1280.0,GasA,Ex,Y,SBrkr,1280,2,Gd,5,Typ,NA,Attchd,1992.0,RFn,2.0,506.0,TA,TA,Y,WD ,Normal,191500
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1595.0,GasA,Ex,Y,SBrkr,1616,2,Gd,5,Typ,TA,Attchd,1995.0,RFn,2.0,608.0,TA,TA,Y,WD ,Normal,236500
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,994.0,GasA,Gd,Y,SBrkr,1028,2,Gd,7,Typ,TA,Attchd,1999.0,Fin,2.0,442.0,TA,TA,Y,WD ,Normal,189000
